Gender,Age,Married,Number of Dependents,Zip Code,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet Service,Contract_One Year,Contract_Two Year,Payment Method_Credit Card,Payment Method_Mailed Check
1,-0.15231520101329551,1,-0.48854581201496783,0.9457745994007731,2.0104806031129674,1.125073469250811,1,-0.48400383632006394,1,1,-0.08129414408971992,1,1,0,0,0,1,1,1,1,0.9714768325340546,1.3986414952744668,-0.24342590820858617,-0.2718991422820436,0.2149839137199634,1.167091888362393,False,True,False,False,False,False,True,False,False,False,True,False
0,-0.15231520101329551,0,2.6192454242202547,-1.8619143541076983,-0.6493092863322075,-0.8292685127152178,1,-0.3742480379957335,0,0,-1.0137074033019942,0,0,0,0,0,0,0,0,0,-1.4281699059661799,-0.9136517238417563,-0.24342590820858617,-0.2718991422820436,-0.643698512910632,-0.9128586222467239,False,False,False,True,False,False,False,True,False,True,False,False
1,-0.6900741887991303,0,-0.48854581201496783,-0.007943171689044314,-0.6493092863322075,-1.2364230922914738,1,0.8064385972328622,0,1,0.21315214829310353,1,0,1,0,0,0,0,1,1,0.5332804715905337,-0.9466869943937627,-0.24342590820858617,-0.2718991422820436,-0.8045624248727111,-0.9861835768002246,False,False,False,False,False,False,True,False,False,False,False,False
0,-0.6900741887991303,1,-0.48854581201496783,-1.2284426975457756,1.6780068669323205,0.02575610439491984,1,1.679289443078425,0,1,0.4585240586121231,1,0,1,0,1,1,1,1,0,0.3502973758119204,0.07081691056045067,-0.24342590820858617,-0.2718991422820436,1.0192443062830583,0.3534293787899547,False,False,True,False,False,False,False,False,True,False,True,False
1,0.38544378677253927,0,0.5473846000634396,-0.03008497724662218,-0.6493092863322075,-0.7478375967999666,1,1.6059024299976596,1,1,0.06592900210169181,1,0,0,1,0,0,0,1,1,0.7114482227433938,-0.49554908091792754,-0.24342590820858617,-0.2718991422820436,-0.09779782241227701,-0.42212596367461375,False,False,False,True,False,False,True,False,False,False,False,True
1,-0.5108211928705187,1,0.5473846000634396,0.9463146434387628,0.348111922209733,1.6136589647423183,1,0.5999158524569032,0,1,-0.08129414408971992,1,1,1,1,1,1,1,1,1,1.4658522141113606,2.4437333655300897,-0.24342590820858617,-0.2718991422820436,1.857656033988316,2.475355769179698,False,False,False,False,False,False,True,False,False,True,True,False
0,0.38544378677253927,1,-0.48854581201496783,1.3653888169187731,2.6754280754742608,-0.09639026947795698,1,0.010871420029875614,0,1,-0.7192611109191708,0,0,1,0,0,0,0,1,1,-0.4442344874373212,-0.358993045664056,-0.24342590820858617,-0.2718991422820436,-0.06617884545459905,-0.30489424581620117,False,False,True,False,False,True,False,False,False,False,True,False
0,-0.8693271847277418,0,-0.48854581201496783,-1.227362609469796,-0.6493092863322075,-1.114276718418597,1,-0.1287587376016689,0,0,-1.0137074033019942,0,0,0,0,0,0,0,0,1,-1.431380135716682,-0.969113198671421,-0.24342590820858617,-0.2718991422820436,-0.7640565273704163,-0.9920248467423952,False,False,False,False,False,False,False,True,False,False,True,False
0,1.938969751487173,1,-0.48854581201496783,0.029859910970234972,2.6754280754742608,1.4915125908694415,0,-1.4932376268289957,0,1,-0.4248148185363473,1,1,0,0,1,1,1,0,0,-0.2339644387794412,0.7294795821316015,-0.24342590820858617,1.3431559632709702,-0.8883669139499103,0.3281820348663045,True,False,False,False,False,True,False,False,False,True,True,False
0,-0.5108211928705187,1,-0.48854581201496783,0.9430743792108246,0.348111922209733,1.04364255333556,1,-0.055371724520903665,1,1,-0.9155586391743864,1,1,1,0,1,1,1,0,1,0.7146584524938957,1.1414759715890355,-0.24342590820858617,4.169502397988745,0.6311899981344291,1.1241401483833413,False,True,False,False,False,True,False,False,False,True,False,False
